TP,FP,FN,TN,SHD,TPR,FPR,FDR,scenario,dataset,algo,skel_TP,skel_FP,skel_FN,skel_TN,skel_SHD,skel_TPR,skel_FPR,skel_FDR,orient_TP,orient_FP,orient_FN,orient_TN,orient_SHD,orient_TPR,orient_FPR,orient_FDR
3.0,2.0,1.0,10.0,3.0,0.75,0.1666666666666666,0.4,counterfactual_reasoning,manufacturing_quality_sem,hc,,,,,,,,,,,,,,,,
2.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,dag_structure_markequi,dag_structure_markequi_sem,hc,,,,,,,,,,,,,,,,
2.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,dag_structure_markequi,sleep_alertness_productivity,hc,,,,,,,,,,,,,,,,
2.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,dag_structure_markequi,study_comprehension_testscore,hc,,,,,,,,,,,,,,,,
2.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,dag_structure_markequi,web_traffic_revenue,hc,,,,,,,,,,,,,,,,
2.0,0.0,3.0,11.0,3.0,0.4,0.0,0.0,domain_shift,arthritis_trial,hc,,,,,,,,,,,,,,,,
2.0,0.0,3.0,11.0,3.0,0.4,0.0,0.0,domain_shift,cardio_trial,hc,,,,,,,,,,,,,,,,
2.0,0.0,3.0,11.0,3.0,0.4,0.0,0.0,domain_shift,cholesterol_trial,hc,,,,,,,,,,,,,,,,
2.0,0.0,3.0,11.0,3.0,0.4,0.0,0.0,domain_shift,diabetes_trial,hc,,,,,,,,,,,,,,,,
2.0,0.0,3.0,11.0,3.0,0.4,0.0,0.0,domain_shift,domain_shift_sem,hc,,,,,,,,,,,,,,,,
6.0,4.0,2.0,37.0,6.0,0.75,0.0975609756097561,0.4,mediation_outcome_confounder,exercise_intervention_study,hc,,,,,,,,,,,,,,,,
5.0,7.0,3.0,34.0,10.0,0.625,0.1707317073170731,0.5833333333333334,mediation_outcome_confounder,language_learning_study,hc,,,,,,,,,,,,,,,,
5.0,7.0,3.0,34.0,10.0,0.625,0.1707317073170731,0.5833333333333334,mediation_outcome_confounder,nutrition_program_study,hc,,,,,,,,,,,,,,,,
2.0,0.0,1.0,6.0,1.0,0.6666666666666666,0.0,0.0,moderation_effect,arthritis_pain_reduction,hc,,,,,,,,,,,,,,,,
2.0,0.0,1.0,6.0,1.0,0.6666666666666666,0.0,0.0,moderation_effect,depression_symptom_reduction,hc,,,,,,,,,,,,,,,,
2.0,0.0,1.0,6.0,1.0,0.6666666666666666,0.0,0.0,moderation_effect,hypertension_bp_reduction,hc,,,,,,,,,,,,,,,,
2.0,0.0,1.0,6.0,1.0,0.6666666666666666,0.0,0.0,moderation_effect,infection_bacteria_reduction,hc,,,,,,,,,,,,,,,,
3.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,moderation_effect,moderation_effect_sem,hc,,,,,,,,,,,,,,,,
2.0,1.0,1.0,12.0,2.0,0.6666666666666666,0.0769230769230769,0.3333333333333333,necessity_sufficiency,bridge_integrity,hc,,,,,,,,,,,,,,,,
3.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,necessity_sufficiency,factory_monitoring,hc,,,,,,,,,,,,,,,,
2.0,1.0,1.0,12.0,2.0,0.6666666666666666,0.0769230769230769,0.3333333333333333,necessity_sufficiency,network_health,hc,,,,,,,,,,,,,,,,
3.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,necessity_sufficiency,patient_recovery,hc,,,,,,,,,,,,,,,,
3.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,necessity_sufficiency,stress_sem,hc,,,,,,,,,,,,,,,,
4.0,7.0,12.0,41.0,19.0,0.25,0.1458333333333333,0.6363636363636364,sequential_mediator,sequential_mediation_dataset,hc,,,,,,,,,,,,,,,,
3.0,3.0,6.0,24.0,9.0,0.3333333333333333,0.1111111111111111,0.5,treatment_mediator,economic_stimulus,hc,,,,,,,,,,,,,,,,
5.0,2.0,4.0,25.0,6.0,0.5555555555555556,0.074074074074074,0.2857142857142857,treatment_mediator,education_subsidy_policy,hc,,,,,,,,,,,,,,,,
6.0,1.0,3.0,26.0,4.0,0.6666666666666666,0.037037037037037,0.1428571428571428,treatment_mediator,infrastructure_spending_policy,hc,,,,,,,,,,,,,,,,
3.0,1.0,6.0,26.0,7.0,0.3333333333333333,0.037037037037037,0.25,treatment_mediator,job_training_policy,hc,,,,,,,,,,,,,,,,
6.0,1.0,3.0,26.0,4.0,0.6666666666666666,0.037037037037037,0.1428571428571428,treatment_mediator,tax_incentive_policy,hc,,,,,,,,,,,,,,,,
